run,competition,variant,k,cum_hours,score,medal,lower_better,file,note,metric_version,grader_sha256,mlebench_version,mlebench_commit
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,uncapped,2,9.71,0.98508,above-med,0,top2ens-total_run_time9.71h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,uncapped,3,13.73,0.98458,above-med,0,top3ens-total_run_time13.73h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,uncapped,4,14.38,0.98417,above-med,0,top4ens-total_run_time14.38h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,uncapped,5,14.79,0.98405,above-med,0,top5ens-total_run_time14.79h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,capped,1,6.13,0.98658,bronze,0,top1ens-total_run_time6.13h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,capped,2,7.17,0.98699,silver,0,top2ens-total_run_time7.17h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,capped,3,7.48,0.98678,silver,0,top3ens-total_run_time7.48h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,capped,4,7.65,0.98647,bronze,0,top4ens-total_run_time7.65h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,capped,6,8.0,0.98561,above-med,0,top6ens-total_run_time8.0h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,1,6.13,0.98658,bronze,0,top1ens-total_run_time6.13h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,2,7.17,0.98699,silver,0,top2ens-total_run_time7.17h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,3,7.48,0.98678,silver,0,top3ens-total_run_time7.48h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,4,7.65,0.98647,bronze,0,top4ens-total_run_time7.65h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,5,7.82,0.98607,above-med,0,top5ens-total_run_time7.82h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
